Drug ID	Drug Name	CAS Number	Chemical Name	New Molecular Entity	Drug Interactions	Comparative Efficacy	Highest Development Phase	Indication	Molecular Formula	Mechanism Of Action	Organisation	Pharmacodynamic Characteristics	Route Of Administration	Route Of Elimination	Pharmacokinetic Characteristics	Adverse Events	Therapeutic Class (EphMRA)	Therapeutic Class (WHO)	Synonyms/Brand Names	Antimicrobial Activity	Immunogenicity	Last Significant Update Date	Therapeutic Area	Orphan Designation	License Availability	Brands	On Fastrack	Fastrack country	On PRIME	PRIME country	Biomarkers-Inclusion	Biomarkers-Exclusion	Biomarkers-Outcome Measure	Biomarkers-Safety	Biomarkers-not specified	URL
800004287	Ganaxolone - Marinus Pharmaceuticals	38398-32-2	"3_-Hydroxy,3_-methyl-5_-pregnan-20-one"	Yes			Phase III	"Early infantile epileptic encephalopathy 2, Status epilepticus, Fragile X syndrome, Tuberous sclerosis, Epilepsy, Lennox-Gastaut syndrome, Postnatal depression, Major depressive disorder, Post-traumatic stress disorders, Angelman syndrome, Partial epilepsies, Infantile spasms, Migraine, Neuropathic pain"	C22 H36 O2	GABA A receptor agonists	"Purdue Pharma (Originator), Purdue Pharma (Owner), Marinus Pharmaceuticals (Licensee), NovaMedica (Sub-licensee), CyDex Pharmaceuticals (Technology Provider), Ligand Pharmaceuticals (Technology Provider), Biomedical Advanced Research and Development Authority (Funder), Duke University Medical Center (Collaborator), Massachusetts General Hospital (Collaborator), PCDH19 Alliance (Collaborator), The Cute Syndrome Foundation (Collaborator), UC Davis MIND Institute (Collaborator), University of Adelaide (Collaborator)"		"PO, IV, unspecified"		"T<sub>max</sub> (h) (1 - 3 (Adult)), Vd (L/kg) (18.1 - 70 (Adult))"	"Constipation, Diarrhoea, Dizziness, Fatigue, Headache, Malaise, Movement disorders, Nasal congestion, Nasopharyngitis, Nausea, Seizures, Somnolence, Vomiting"	"N2B (Non-Narcotics and Anti-Pyretics), N2C (Anti-Migraine Preparations), N3A (Anti-Epileptics), N6A (Anti-Depressants and Mood Stabilisers), N7X (All other CNS drugs)"	"N02B (Other Analgesics and Antipyretics), N02C-X (Other antimigraine preparations), N03A-X (Other antiepileptics), N05B-X (Other anxiolytics), N06 (Psychoanaleptics), N07X (Other Nervous System Drugs)"	"CCD1042, GanaxaloneIV, gnx"			28/03/2021	"Advances in the Treatment of Nausea and Migraine, Affective Disorders, Anxiety Disorders, Epilepsy and Seizure Disorders, Neurological Disorders, Pain"	"Status epilepticus (USA), Infantile spasms (USA), Fragile X syndrome (USA), Epilepsy (USA), Epilepsy (European Union)"	Marinus Pharmaceuticals |  | Unspecified |  | 08 Aug 2019		no		no							https://adis.springer.com/drugs/800004287?userId=52029392&bpIds=3004037004&checksum=c61daad6da6c31c74e31f0a58bfcf8134474d2be-1617045530373-68d29149b7b9ab8f76420796269ffa62badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800051342	VX 128			Yes			No development reported (I)	Pain		Nav1.8 voltage-gated sodium channel inhibitors	"Vertex Pharmaceuticals (Originator), Vertex Pharmaceuticals (Owner)"		PO				N2 (Analgesics)	N02 (Analgesics)	VX128			28/03/2021	Pain				no		no							https://adis.springer.com/drugs/800051342?userId=52029392&bpIds=3004037004&checksum=83f82efadabecc6540ad930b7e1e80a29442c729-1617045530374-699677480f1aba5d81951a0b9ba75d03badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800048603	Research programme: Non narcotic analgesics - Vapogenix			No			No development reported (Preclinical)	"Pain, Inflammatory pain"		Undefined mechanism	"University of Texas M. D. Anderson Cancer Center (Originator), Vapogenix (Originator), University of Texas M. D. Anderson Cancer Center (Owner), Vapogenix (Owner)"		Topical				N2 (Analgesics)	N02 (Analgesics)				28/03/2021	Pain				no		no							https://adis.springer.com/drugs/800048603?userId=52029392&bpIds=3004037004&checksum=ef3c6994d4820059c6993786517b1c31a632a2ed-1617045530375-d7b135f714daefd7264756452ef72951badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800026736	Research programme: vesicular monoamine transporter inhibitors - Neurocrine Biosciences			Yes			No development reported (Research)	"Schizophrenia, Movement disorders, Bipolar disorders, Epilepsy, Neuropathic pain, Essential tremor"		"Vesicular monoamine transporter 2 inhibitors, GABA uptake inhibitors"	"Neurocrine Biosciences (Originator), Neurocrine Biosciences (Owner)"		unspecified				"N2 (Analgesics), N3A (Anti-Epileptics), N5A (Antipsychotics), N6A (Anti-Depressants and Mood Stabilisers), N7 (Other CNS Drugs)"	"N02 (Analgesics), N03A-G (Fatty acid derivatives), N05A (Antipsychotics), N07 (Other Nervous System Drugs)"	VMAT2 inhibitors Neurocrine Biosciences			28/03/2021	"Affective Disorders, Epilepsy and Seizure Disorders, Pain, Parkinson's Disease and Movement Disorders, Psychotic Disorders"				no		no							https://adis.springer.com/drugs/800026736?userId=52029392&bpIds=3004037004&checksum=9fcd3f6fc44ff06eaf6bc3282387d1fe7f8dc0d7-1617045530451-e87ddd037ab04dc656ec7799fc85dcd3badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800051306	STR 324			Yes			Phase I	"Postoperative pain, Pain"		Neprilysin inhibitors	"Institut Pasteur (Originator), Institut Pasteur (Owner), Stragen Pharma SA (Licensee)"		IV				N2 (Analgesics)	N02 (Analgesics)	STR324			28/03/2021	Pain				no		no							https://adis.springer.com/drugs/800051306?userId=52029392&bpIds=3004037004&checksum=a9f8de2302fd31cb232a338ed5f6b37c385454b6-1617045530452-9b7da34ed585897a1d2f6917e004ec1abadf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800039110	Research programme: purinoceptor P2X3 antagonists - Bellus Health			Yes			Preclinical	"Pain, Visceral pain, Cough, Interstitial cystitis"		Purinergic P2X3 receptor antagonists	"AstraZeneca (Originator), BELLUS Health (Owner), Pfizer (Funder)"		PO				"G4 (Urologicals), N2 (Analgesics), R3 (Anti-Asthma and COPD Products), R5 (Cough and Cold Preparations)"	"G04B (Urologicals), M01A (Antiinflammatory and Antirheumatic Products, Non-steroids), N02 (Analgesics), R03 (Drugs for Obstructive Airway Diseases), R05 (Cough and Cold Preparations)"	"NEO5024, P2X3 receptor antagonists Bellus Health"			28/03/2021	"Genitourinary Disorders, Pain, Respiratory Tract Disorders, Rheumatic Disease"				no		no							https://adis.springer.com/drugs/800039110?userId=52029392&bpIds=3004037004&checksum=c7381760fa9073bd6f6099cb41cac880270803f7-1617045530454-e0b3aa388138d9018ff8717cdbf1409abadf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800045567	Nicotinamide riboside - ChromaDex	1341-23-7	"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyridin-1-ium-3-carboxamide"	No			Phase III	"COVID 2019 infections, Retinal disorders, Alzheimer's disease, Ataxia telangiectasia, Heart failure, Mitochondrial myopathies, Cockayne syndrome, Pain"	C11 H15 N2 O5	Nicotinamide adenine dinucleotide modulators	"Cornell University (Originator), Dartmouth College (Originator), Washington University (Originator), Cornell University (Owner), Dartmouth College (Owner), Washington University (Owner), ChromaDex (Licensee), Ecole Polytechnique Federale de Lausanne. (Collaborator), Emory University (Collaborator), National Institutes of Health (USA) (Collaborator), Oregon Health & Science University (Collaborator), ScandiBio Therapeutics (Collaborator), University of Cambridge (Collaborator), University of Iowa (Collaborator), University of Kansas (Collaborator), University of Paris-Sud (Collaborator)"		"PO, unspecified"				"J5 (Antivirals for Systemic Use), M5 (Other Drugs for Disorders of the Musculo-Skeletal System), N2B (Non-Narcotics and Anti-Pyretics), N7 (Other CNS Drugs), N7X (All other CNS drugs), S1X (Other Ophthalmologicals)"	"J05 (Antivirals for Systemic Use), M09A-X (Other drugs for disorders of the musculo-skeletal system), N02B (Other Analgesics and Antipyretics), N07 (Other Nervous System Drugs), N07X (Other Nervous System Drugs), S01X (Other Ophthalmologicals)"	"NIAGEN, Nicotinamidebetariboside, Nicotinamideribonucleoside, Nicotinamideribose, SRT647"			28/03/2021	"Alzheimer's Disease and Cognition Disorders, Eye Disorders, Heart Failure, Metabolic Disorders, Musculoskeletal Disorders, Neurological Disorders, Pain, Parkinson's Disease and Movement Disorders, Skin Disorders, Vascular Disorders, Viral Infections"			NIAGEN	no		no							https://adis.springer.com/drugs/800045567?userId=52029392&bpIds=3004037004&checksum=544a9faee9591cb3f3b6493d9dcae1745abb2a4b-1617045530456-efb37df17d39cc3378d6f97660aa6d19badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800019286	AMG 0101			Yes			Phase III	"Atopic dermatitis, Back pain, Vascular restenosis, Musculoskeletal disorders, Psoriasis, Respiratory tract disorders, Spondylosis, Periodontal disorders, Inflammatory bowel diseases, Pain, Intervertebral disc degeneration"		"Genetic transcription modulators, NF-kappa B inhibitors"	"AnGes MG (Originator), Osaka University (Originator), AnGes (Owner), Nippon Zoki (Licensee), Shionogi (Licensee), MEDRx (Technology Provider), Morishita Jintan (Technology Provider), Rush University (Technology Provider), Aichi Gakuin University (Collaborator), Hosokawa Micron Corporation (Collaborator), MedGel (Collaborator), Osaka University (Collaborator)"		"Topical, Intra-articular, Intra-arterial, Inhalation, unspecified, PO, Parenteral"				"A1A (Stomatologicals), A7E (Intestinal Anti-Inflammatory Agents), C6A (Other Cardiovascular Products), D11A (Other Dermatological Preparations), D5 (Nonsteroidal Products for Inflammatory Skin Disorders), M1 (Anti-Inflammatory and Anti-Rheumatic Products), M1A (Anti-Rheumatics, Non-Steroidal), M5 (Other Drugs for Disorders of the Musculo-Skeletal System), N2 (Analgesics), R3 (Anti-Asthma and COPD Products)"	"A01A (Stomatological Preparations), A07E (Intestinal Antiinflammatory Agents), C (Cardiovascular System), C01E-B (Other cardiac preparations), D05 (Antipsoriatics), D11A (Other Dermatological Preparations), M01 (Antiinflammatory and Antirheumatic Products), M01A-X (Other antiinflammatory and antirheumatic agents, non-steroids), M09A (Other Drugs for Disorders of the Musculo-Skeletal System), N02 (Analgesics), R03 (Drugs for Obstructive Airway Diseases)"	"AMG0101, AMG0102, AMG0103, AMS001, MP 40, MP 41, MP 42, NDON, NFkappaB decoy, NFkappaB decoy oligo, NFkappaB decoy oligonucleotide, NFkappaBDecoyAnGesMG, NFkappaBtranscriptionfactorDecoyAnGes, NFkB decoy oligo, NFkDtranscriptionfactorDecoyAnGes, NuclearfactorkappaBDecoyAnGes, S414114, SI3104"			28/03/2021	"Drug Delivery Systems, Inflammatory Bowel Disorders, Mouth Disorders, Musculoskeletal Disorders, Obstructive Airways Disease, Pain, Respiratory Tract Disorders, Rheumatic Disease, Skin Disorders, Vascular Disorders"				no		no				NFkB			https://adis.springer.com/drugs/800019286?userId=52029392&bpIds=3004037004&checksum=6011ac66793d570722f91e9dd46828baed079399-1617045530459-2f9655c0deca255675f4c3093b7668bfbadf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800048963	Research programme: cannabinoid-based therapeutics - Revive Therapeutics			Yes			Preclinical	"Neuropathic pain, Wounds, Acne, Autoimmune hepatitis, Non-alcoholic steatohepatitis, Psoriasis, Dermatitis, Liver disorders, Kidney disorders"		Cannabinoid receptor modulators	"Revive Therapeutics (Originator), Revive Therapeutics (Owner), Chemi Pharmaceutical (Collaborator), InMed Pharmaceuticals (Collaborator), University of Wisconsin-Madison (Collaborator), WeedMD (Collaborator)"		"Topical, unspecified"				"A5 (Cholagogues and Hepatic Protectors), D11A (Other Dermatological Preparations), G4 (Urologicals), M1 (Anti-Inflammatory and Anti-Rheumatic Products), N2 (Analgesics)"	"A05 (Bile and Liver Therapy), D11A (Other Dermatological Preparations), G04 (Urologicals), M01 (Antiinflammatory and Antirheumatic Products), N02 (Analgesics)"	"REV 100, REV 101, REV 200, REV 201"			28/03/2021	"Genitourinary Disorders, Liver Disorders, Pain, Skin Disorders"	"Autoimmune hepatitis (USA), Reperfusion injury (USA), Ischaemia (USA)"			no		no							https://adis.springer.com/drugs/800048963?userId=52029392&bpIds=3004037004&checksum=0d1580450dcfe35de69b65e6a91b5add05c9da8e-1617045530461-bb1813ae750fbf2419d0d0455856c459badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
800047450	KAND 567		"(2R)-2-[[2-amino-5-[(1S)-1-phenylethyl]sulfanyl-[1,3]thiazolo[4,5-d]pyrimidin-7-yl]amino]-4-methylpentan-1-ol"	Yes			Phase II	"SARS-CoV-2 acute respiratory disease, Myocardial infarction, Cardiovascular disorders, Spinal cord injuries, Cancer, Autoimmune disorders, Cancer pain, Breast cancer, Ovarian cancer, Multiple myeloma"	C19 H25 N5 O S2	Chemokine CXCL13 inhibitors	"AstraZeneca (Originator), Acturum Life Sciences (Owner), Kancera (Collaborator), Karolinska Institute (Collaborator), Recipharm (Collaborator), SciLifeLab (Collaborator), Uppsala University (Collaborator)"		"PO, IV, unspecified"				"C1 (Cardiac Therapy), J5B9 (Antivirals, others), L1 (Antineoplastics), N2 (Analgesics), N7X (All other CNS drugs)"	"C01 (Cardiac Therapy), J05A-X (Other antivirals), L01 (Antineoplastic Agents), N02 (Analgesics), N07X (Other Nervous System Drugs)"	"AZD8797, KAN0440567, KAND567"			28/03/2021	"Cancer, Immunological Disorders, Ischaemic Heart Disease, Neurological Disorders, Pain, Vascular Disorders, Viral Infections"				no		no							https://adis.springer.com/drugs/800047450?userId=52029392&bpIds=3004037004&checksum=0dbe37f867d557d7cf87736fb67e546279ac35e5-1617045530463-45292ec2f74a996c867be7d094e62f94badf3d92bc2778055d3caa554576af18894e69995d1562cf49561bdb11a7312fb28447bacaa6580f4c419dc370db77e4
